bambu_network_check_debug_consistent        | bool        | bool is_debug
bambu_network_get_version                   | std::string |
bambu_network_create_agent                  | void*       | std::string log_dir
bambu_network_destroy_agent                 | int         | void *agent
bambu_network_init_log                      | int         | void *agent
bambu_network_set_config_dir                | int         | void *agent, std::string config_dir
bambu_network_set_cert_file                 | int         | void *agent, std::string folder, std::string filename
bambu_network_set_country_code              | int         | void *agent, std::string country_code
bambu_network_start                         | int         | void *agent
bambu_network_set_on_ssdp_msg_fn            | int         | void *agent, OnMsgArrivedFn fn
bambu_network_set_on_user_login_fn          | int         | void *agent, OnUserLoginFn fn
bambu_network_set_on_printer_connected_fn   | int         | void *agent, OnPrinterConnectedFn fn
bambu_network_set_on_server_connected_fn    | int         | void *agent, OnServerConnectedFn fn
bambu_network_set_on_http_error_fn          | int         | void *agent, OnHttpErrorFn fn
bambu_network_set_get_country_code_fn       | int         | void *agent, GetCountryCodeFn fn
bambu_network_set_on_subscribe_failure_fn   | int         | void *agent, GetSubscribeFailureFn fn
bambu_network_set_on_message_fn             | int         | void *agent, OnMessageFn fn
bambu_network_set_on_local_connect_fn       | int         | void *agent, OnLocalConnectedFn fn
bambu_network_set_on_local_message_fn       | int         | void *agent, OnMessageFn fn
bambu_network_set_queue_on_main_fn          | int         | void *agent, QueueOnMainFn fn
bambu_network_connect_server                | int         | void *agent
bambu_network_is_server_connected           | bool        | void *agent
bambu_network_refresh_connection            | int         | void *agent
bambu_network_start_subscribe               | int         | void *agent, std::string module
bambu_network_stop_subscribe                | int         | void *agent, std::string module
bambu_network_send_message                  | int         | void *agent, std::string dev_id, std::string json_str, int qos
bambu_network_connect_printer               | int         | void *agent, std::string dev_id, std::string dev_ip, std::string username, std::string password, bool use_ssl
bambu_network_disconnect_printer            | int         | void *agent
bambu_network_send_message_to_printer       | int         | void *agent, std::string dev_id, std::string json_str, int qos
bambu_network_start_discovery               | bool        | void *agent, bool start, bool sending
bambu_network_change_user                   | int         | void *agent, std::string user_info
bambu_network_is_user_login                 | bool        | void *agent
bambu_network_user_logout                   | int         | void *agent
bambu_network_get_user_id                   | std::string | void *agent
bambu_network_get_user_name                 | std::string | void *agent
bambu_network_get_user_avatar               | std::string | void *agent
bambu_network_get_user_nickanme             | std::string | void *agent
bambu_network_build_login_cmd               | std::string | void *agent
